abolish	ortadan kaldırmak	abschaffen	abolir
abortion	kürtaj	Abtreibung	avortement
absence	yokluk	Abwesenheit	absence
absent	mevcut olmayan	abwesend	absent
absurd	absürt	absurd	absurde
abundance	bolluk	Fülle	abondance
abuse	suistimal etmek	Missbrauch	abus
academy	akademi	Akademie	académie
accelerate	hızlanmak	beschleunigen	accélérer
acceptance	kabul	Annahme	acceptation
accessible	erişilebilir	zugänglich	accessible
accomplishment	başarı	Leistung	accomplissement
accordance	uygunluk	Übereinstimmung	conformité
accordingly	buna göre	entsprechend	par conséquent
accountability	Hesap verebilirlik	Rechenschaftspflicht	responsabilité
accountable	sorumlu	verantwortlich	redevable
accumulate	biriktirmek	akkumulieren	accumuler
accumulation	birikim	Akkumulation	accumulation
accusation	suçlama	Anklage	accusation
accused	sanık	beschuldigt	accusé
acid	asit	Säure	acide
acquisition	kazanma	Erwerb	acquisition
acre	dönüm	Acre	acre
activation	aktivasyon	Aktivierung	Activation
activist	aktivist	Aktivist	activiste
acute	akut	akut	aigu
adaptation	uyarlama	Anpassung	adaptation
adhere	uymak	haften	adhérer
adjacent	bitişik	benachbart	adjacent
adjustment	ayarlama	Einstellung	ajustement
administer	idare etmek	verwalten	administrer
administrative	Yönetim	administrativ	administratif
administrator	yönetici	Administrator	administrateur
admission	giriş	Zulassung	admission
adolescent	ergen	Jugendlicher	adolescent
adoption	Benimseme	Annahme	adoption
adverse	olumsuz	nachteilig	négatif
advocate	savunucu	Fürsprecher	avocat
aesthetic	estetik	ästhetisch	esthétique
affection	alaka	Zuneigung	affection
aftermath	sonradan	Nachwirkungen	conséquences
aggression	saldırı	Aggression	agression
agricultural	tarımsal	landwirtschaftlich	agricole
aide	yardımcı olmak	Berater	aide
albeit	Gerçi	obgleich	quoique
alert	uyarı	Alarm	alerte
alien	yabancı	Außerirdischer	extraterrestre
align	hizalamak	ausrichten	aligner
alignment	uyuşma	Ausrichtung	alignement
alike	aynı	wie	ressemblent
allegation	iddia	Behauptung	allégation
allege	iddia etmek	behaupten	alléguer
allegedly	iddiaya göre	angeblich	prétendument
alliance	ittifak	Allianz	Alliance
allocate	tahsis etmek	zuweisen	allouer
allocation	paylaştırma	Zuweisung	allocation
allowance	ödenek	Zuschuss	allocation
ally	müttefik	Verbündete	allié
aluminium	alüminyum	Aluminium	aluminium
amateur	amatör	Amateur	amateur
ambassador	büyükelçi	Botschafter	ambassadeur
amend	değiştirmek	ändern	modifier
amendment	değişiklik	Änderung	amendement
amid	ortasında	inmitten	au milieu de
analogy	benzetme	Analogie	analogie
anchor	Çapa	Anker	ancre
angel	melek	Engel	ange
anonymous	anonim	anonym	anonyme
apparatus	aparat	Gerät	appareil
appealing	çekici	reizvoll	attirant
appetite	iştah	Appetit	appétit
applaud	alkışlamak	applaudieren	applaudir
applicable	uygulanabilir	zutreffend	en vigueur
appoint	atamak	ernennen	nommer
appreciation	takdir	Anerkennung	appréciation
arbitrary	keyfi	willkürlich	arbitraire
architectural	mimari	Architektur	architectural
archive	Arşiv	Archiv	archive
arena	arena	Arena	arène
arguably	tartışılır biçimde	wohl	discutablement
arm	kol	Arm	bras
array	sıralamak	Array	déployer
articulate	ifade	artikulieren	articuler
ash	kül	Asche	cendre
aspiration	istek	Aspiration	aspiration
aspire	istemek	streben	aspirer
assassination	suikast	Ermordung	assassinat
assault	saldırı	Angriff	agression
assemble	birleştirmek	montieren	assembler
assembly	toplantı	Montage	assemblée
assert	iddia etmek	behaupten	affirmer
assertion	iddia	Behauptung	affirmation
assurance	güvence	Sicherheit	assurance
asylum	iltica	Asyl	asile
atrocity	vahşet	Grausamkeit	atrocité
attain	elde etmek	erreichen	atteindre
attendance	katılma	Teilnahme	présence
attorney	avukat	Rechtsanwalt	avocat
attribute	bağlanmak	Attribut	attribut
audit	denetim	Prüfung	Audit
authentic	otantik	authentisch	authentique
authorize	yetki vermek	autorisieren	autoriser
auto	Oto	Auto	auto
autonomy	özerklik	Autonomie	autonomie
availability	kullanılabilirlik	Verfügbarkeit	disponibilité
await	beklemek	erwarten	attendre
backdrop	zemin	Hintergrund	toile de fond
backing	destek	Backing	support
backup	destek olmak	Backup	sauvegarde
bail	kefalet	Kaution	caution
ballot	oy pusulası	Abstimmung	bulletin de vote
banner	afiş	Banner	bannière
bare	çıplak	nackt	nu
barrel	varil	Fass	baril
bass	bas	Bass	basse
bat	yarasa	Schläger	chauve souris
battlefield	savaş alanı	Schlachtfeld	champ de bataille
bay	koy	Bucht	baie
beam	kiriş	Strahl	faisceau
beast	canavar	Tier	bête
behalf	adına	Namen	au nom de
beloved	sevgili	geliebte	bien-aimé
bench	Bank	Bank	banc
benchmark	kalite testi	Benchmark	référence
beneath	altında	unter	sous
beneficiary	yararlanma	Begünstigter	Bénéficiaire
betray	ihanet etmek	verraten	trahir
bind	bağırmak	binden	lier
biography	biyografi	Biografie	Biographie
bishop	piskopos	Bischof	évêque
bizarre	tuhaf	bizarr	bizarre
blade	bıçak ağzı	Klinge	lame
blast	büyük patlama	sprengen	détruire
bleed	kanama	bluten	saigner
blend	karışım	Mischung	mélange
bless	kutsamak	segnen	bénir
blessing	nimet	Segen	bénédiction
boast	övünme	Prahlerei	se vanter
bonus	bonus	Bonus	prime
boom	Boom	Boom	boom
bounce	sıçrama	prallen	rebond
boundary	sınır	Grenze	frontière
bow	yay	Bogen	arc
breach	çiğneme	Verstoß	enfreindre
breakdown	bozulma	abbauen	panne
breakthrough	atılım	Durchbruch	percée
breed	yavrulamak	züchten	race
broadband	geniş bant	Breitband	haut débit
browser	tarayıcı	Browser	navigateur
brutal	vahşi	brutal	brutal
buck	bükmek	Bock	mâle
buddy	ahbap	Kumpel	copain
buffer	tampon	Puffer	amortir
bulk	toplu	Schüttgut	en gros
burden	yük	Last	fardeau
bureaucracy	bürokrasi	Bürokratie	bureaucratie
burial	gömme	Beerdigung	enterrement
burst	patlamak	platzen	éclatement
cabinet	kabine	Kabinett	armoire
calculation	hesaplama	Berechnung	calcul
canvas	tuval	Leinwand	toile
capability	kabiliyet	Fähigkeit	aptitude
capitalism	kapitalizm	Kapitalismus	capitalisme
capitalist	kapitalist	Kapitalist	capitaliste
cargo	kargo	Ladung	cargaison
carriage	taşıma	Wagen	le chariot
carve	oymak	schnitzen	tailler
casino	kumarhane	Kasino	casino
casualty	yaralı	Opfer	victime
catalogue	katalog	Katalog	catalogue
cater	hitap etmek	Cater	s'adresser
cattle	sığırlar	Vieh	bétail
caution	Dikkat	Vorsicht	avertir
cautious	dikkatli	zurückhaltend	prudent
cease	durdurmak	beenden	cesser
cemetery	mezarlık	Friedhof	cimetière
chamber	bölme	Kammer	chambre
chaos	kaos	Chaos	chaos
characterize	karakterize etmek	charakterisieren	caractériser
charm	cazibe	Charme	charme
charter	tüzük	Charta	charte
chronic	kronik	chronisch	chronique
chunk	yastık	Chunk	tronçon
circulate	dolaşmak	zirkulieren	circuler
circulation	tiraj	Verkehr	circulation
citizenship	vatandaşlık	Staatsbürgerschaft	citoyenneté
civic	sivil	Bürger	civique
civilian	sivil	Zivilist	civil
clarity	açıklık	Klarheit	clarté
clash	çarpışma	Zusammenstoß	choc
classification	sınıflandırma	Einstufung	classification
cling	yapışan	haften	se cramponner
clinical	klinik	klinisch	clinique
closure	kapanma	Schließung	fermeture
cluster	küme	Cluster	grappe
coalition	koalisyon	Koalition	coalition
coastal	kıyı	Küsten	côtier
cocktail	kokteyl	Cocktail	cocktail
cognitive	bilişsel	kognitiv	cognitif
coincide	çakmak	übereinstimmen	coïncider
collaborate	işbirliği yapmak	zusammenarbeiten	collaborer
collaboration	işbirliği	Zusammenarbeit	collaboration
collective	toplu	kollektiv	collectif
collision	çarpışma	Kollision	collision
colonial	sömürgeci	kolonial	colonial
columnist	köşe yazarı	Kolumnist	journaliste
combat	savaşmak	Kampf	combat
commence	başlamak	beginnen	commencer
commentary	yorum	Kommentar	commentaire
commentator	yorumcu	Kommentator	commentateur
commerce	ticaret	Handel	Commerce
commissioner	komiser	Kommissar	le commissaire
commodity	emtia	Ware	produit de base
communist	komünist	Kommunist	communiste
companion	Arkadaş	Begleiter	compagnon
comparable	karşılaştırılabilir	vergleichbar	comparable
compassion	merhamet	Mitgefühl	compassion
compel	zorlamak	zwingen	contraindre
compelling	zorlayıcı	zwingend	convaincant
compensate	tazmin etmek	kompensieren	compenser
compensation	tazminat	Entschädigung	compensation
competence	yeterlik	Kompetenz	compétence
competent	yetkili	kompetent	compétent
compile	derlemek	kompilieren	compiler
complement	Tamamlayıcı	ergänzen	complément
complexity	karmaşıklık	Komplexität	complexité
compliance	uyma	Einhaltung	conformité
complication	komplikasyon	Komplikation	complication
comply	uymak	einhalten	se conformer
composition	kompozisyon	Komposition	composition
compromise	anlaşmak	Kompromiss	compromis
compute	hesaplamak	berechnen	calculer
conceal	gizlemek	verbergen	cacher
concede	kabul etmek	zugeben	concéder
conceive	gebe kalmak	sich vorstellen	concevoir
conception	gebe kalma	Konzeption	conception
concession	taviz	Konzession	Concession
condemn	kınamak	verurteilen	condamner
confer	vermek	verleihen	conférer
confession	itiraf	Geständnis	confession
configuration	konfigürasyon	Aufbau	configuration
confine	sınırlamak	beschränken	confiner
confirmation	Onayla	Bestätigung	confirmation
confront	karşısına çıkmak	konfrontieren	affronter
confrontation	yüzleşme	Konfrontation	affrontement
congratulate	tebrik etmek	gratulieren	féliciter
congregation	cemaat	Gemeinde	congrégation
congressional	kongre	Kongress-	Congrès
conquer	fethetmek	erobern	conquérir
conscience	vicdan	Gewissen	conscience
consciousness	bilinç	Bewusstsein	conscience
consecutive	ardışık	aufeinanderfolgenden	consécutif
consensus	uzlaşma	Konsens	consensus
consent	onay	Zustimmung	consentement
conserve	korumak	sparen	conserver
consistency	tutarlılık	Konsistenz	cohérence
consolidate	birleştirmek	konsolidieren	consolider
constituency	seçim bölgesi	Wahlkreis	circonscription électorale
constitute	oluşturmak	bilden	constituer
constitution	anayasa	Verfassung	Constitution
constitutional	anayasal	konstitutionell	constitutionnel
constraint	kısıtlama	Zwang	contrainte
consultation	danışma	Beratung	consultation
contemplate	düşünmek	betrachten	contempler
contempt	hor görme	Verachtung	mépris
contend	itiraz etmek	kämpfen	combattre
contender	yarışmacı	Anwärter	concurrent
content	içerik	Inhalt	contenu
contention	çekişme	Streit	contention
continually	sürekli olarak	ständig	continuellement
contractor	müteahhit	Auftragnehmer	prestataire
contradiction	çelişki	Widerspruch	contradiction
contrary	zıt	Gegenteil	contraire
contributor	katkıda bulunan kimse	Mitwirkender	donateur
conversion	dönüştürmek	Wandlung	conversion
convict	mahkum etmek	Sträfling	condamné
conviction	mahkumiyet	Überzeugung	conviction
cooperate	işbirliği yapmak	kooperieren	coopérer
cooperative	işbirliği ile ilgili	Kooperative	coopérative
coordinate	koordinat	Koordinate	coordonner
coordination	Koordinasyon	Koordinierung	coordination
coordinator	koordinatör	Koordinator	coordinateur
cop	polis	Polizist	flic
copper	bakır	Kupfer	cuivre
copyright	telif hakkı	Urheberrechte ©	droits d'auteur
correction	düzeltme	Korrektur	correction
correlate	korelasyon	zueinander in Beziehung stehen	corrélatif
correlation	korelasyon	Korrelation	corrélation
correspond	karşılık	entsprechen	correspondre
correspondence	yazışma	Korrespondenz	correspondance
correspondent	muhabir	Korrespondent	correspondant
corresponding	karşılıklı	dazugehörigen	correspondant
corrupt	yozlaşmış	korrupt	corrompu
corruption	yolsuzluk	Korruption	la corruption
costly	pahalı	teuer	cher
councillor	meclis üyesi	Stadtrat	conseiller
counselling	danışmanlık	Beratung	conseils
counsellor	danışman	Berater	conseiller
counter	tezgah	Schalter	comptoir
counterpart	karşılık	Gegenstück	homologue
countless	sayısız	unzählige	innombrable
coup	darbe	Coup	coup
courtesy	nezaket	Anstand	courtoisie
craft	zanaat	Handwerk	artisanat
crawl	sürünmek	kriechen	crawl
creator	yaratıcı	Schöpfer	créateur
credibility	güvenilirlik	Glaubwürdigkeit	crédibilité
credible	güvenilir	glaubwürdig	crédible
creep	sürünme	schleichen	fluer
critique	eleştiri	Kritik	la critique
crown	taç	Krone	couronne
crude	ham	roh	brut
crush	ezmek	zerkleinern	écraser
crystal	kristal	Kristall	cristal
cult	kült	Kult	culte
cultivate	yetiştirmek	pflegen	cultiver
curiosity	merak	Neugier	curiosité
custody	velayet	Gewahrsam	garde
cutting	kesme	Schneiden	Coupe
cynical	alaycı	zynisch	cynique
dam	baraj	Damm	barrage
damaging	zararlı	schädlich	dommageable
dawn	şafak	Dämmerung	aube
debris	enkaz	Trümmer	débris
debut	çıkış	Debüt	début
decision-making	karar verme	Entscheidungsfindung	la prise de décision
decisive	kararlı	entscheidend	décisif
declaration	beyanname	Erklärung	déclaration
dedicated	özel	gewidmet	dédié
dedication	adanmışlık	Einsatz	dévouement
deed	tapu	Tat	acte
deem	kabul etmek	erkennen	considérer
default	varsayılan	Standard	défaut
defect	kusur	Defekt	défaut
defensive	savunmacı	Defensive	défensive
deficiency	eksiklik	Mangel	carence
deficit	açıklık	Defizit	déficit
defy	meydan okumak	trotzen	defier
delegate	temsilci	delegieren	déléguer
delegation	delegasyon	Delegation	délégation
delicate	narin	empfindlich	délicat
demon	iblis	Dämon	démon
denial	inkar	Verweigerung	le déni
denounce	kınamak	anprangern	dénoncer
dense	yoğun	dicht	dense
density	yoğunluk	Dichte	densité
dependence	bağımlılık	Abhängigkeit	dépendance
depict	göstermek	abbilden	représenter
deploy	dağıtmak	einsetzen	déployer
deployment	dağıtım	Einsatz	déploiement
deposit	Depozito	Kaution	dépôt
deprive	mahrum etmek	berauben	priver
deputy	milletvekili	Stellvertreter	adjoint
descend	inmek	absteigen	descendre
descent	iniş	Abstieg	descente
designate	Tayin etmek	benennen	désigner
desirable	istenen	wünschenswert	souhaitable
desktop	masaüstü	Desktop	bureau
destructive	yıkıcı	destruktiv	destructeur
detain	gözaltına almak	inhaftieren	détenir
detection	tespit etme	Erkennung	détection
detention	alıkoyma	Festnahme	retenue
deteriorate	bozulmak	sich verschlechtern	détériorer
devastate	harap etmek	verwüsten	dévaster
devil	şeytan	Teufel	diable
devise	tasarlamak	entwickeln	concevoir
diagnose	teşhis koymak	diagnostizieren	diagnostiquer
diagnosis	Teşhis	Diagnose	diagnostic
dictate	dikte	diktieren	dicter
dictator	diktatör	Diktator	dictateur
differentiate	ayırt etmek	unterscheiden	différencier
dignity	itibar	Würde	dignité
dilemma	ikilem	Dilemma	dilemme
dimension	boyut	Abmessungen	dimension
diminish	azaltmak	verringern	talon
dip	dalmak	tauchen	plonger
diplomat	diplomat	Diplomat	diplomate
diplomatic	diplomatik	diplomatisch	diplomatique
directory	dizin	Verzeichnis	annuaire
disastrous	felaket	katastrophal	catastrophique
discard	atmak	verwerfen	jeter
discharge	deşarj	Entladung	décharge
disclose	ifşa etmek	offenlegen	divulguer
disclosure	açıklama	Offenlegung	divulgation
discourse	söylem	Diskurs	discours
discretion	takdir	Diskretion	discrétion
discrimination	ayrımcılık	Diskriminierung	discrimination
dismissal	işten çıkarılma	Entlassung	congédiement
displace	yerinden çıkarmak	verdrängen	déplacer
disposal	imha etmek	Entsorgung	disposition
dispose	elden çıkarmak	entsorgen	disposer
dispute	anlaşmazlık	Disput	litige
disrupt	bozmak	stören	perturber
disruption	bozulma	Störung	perturbation
dissolve	çözmek	sich auflösen	dissoudre
distinction	ayrım	Unterscheidung	distinction
distinctive	ayırt edici	unverwechselbar	distinctif
distort	çarpıtmak	verzerren	fausser
distress	sıkıntı	Not	détresse
disturbing	rahatsız edici	verstörend	inquiétant
divert	yönlendirmek	umleiten	dérouter
divine	ilahi	göttlich	divin
doctrine	doktrin	Lehre	doctrine
documentation	belgeler	Dokumentation	Documentation
domain	ihtisas	Domain	domaine
dominance	hakimiyet	Dominanz	dominance
donor	donör	Spender	donneur
dose	doz	Dosis	dose
drain	boşaltmak	Abfluss	drain
drift	sürüklenme	Drift	dérive
driving	sürme	Fahren	conduite
drown	bastırmak	ertrinken	noyer
dual	çift	Dual	double
dub	dublaj	Dub	surnommer
dumb	sersem	stumm	idiot
duo	ikili	Duo	duo
dynamic	dinamik	dynamisch	dynamique
eager	istekli	erpicht	désireux
earnings	kazanç	Verdienste	gains
ease	kolaylaştırmak	Leichtigkeit	faciliter
echo	Eko	Echo	écho
ecological	ekolojik	ökologisch	écologique
educator	eğitimci	Erzieher	éducateur
effectiveness	verimlilik	Wirksamkeit	efficacité
efficiency	yeterlik	Effizienz	efficacité
ego	benlik	Ego	ego
elaborate	detaylandırmak	durchdacht	élaborer
electoral	seçim	Wählerin	électoral
elevate	yükseltmek	erheben	élever
eligible	hak sahibi	geeignet	admissible
elite	seçkinler	Elite	élite
embark	başlatmak	Einschiffung	embarquer
embarrassment	utanç	Verlegenheit	embarras
embassy	elçilik	Botschaft	ambassade
embed	Göm	einbetten	encombrer
