abandon	terk etmek	aufgeben	abandonner
absolute	mutlak	absolut	absolu
absorb	emmek	absorbieren	absorber
kavramak	Kavramak	Kavramak	kavramak
abstract	soyut	abstrakt	abstrait
academic	akademik	akademisch	académique
accent	aksan	Akzent	accent
acceptable	kabul edilebilir	akzeptabel	acceptable
accidentally	kazara	versehentlich	accidentellement
accommodate	Karşılamak	unterbringen	accommoder
accompany	eşlik etmek	begleiten	accompagner
accomplish	sonuçlandırmak	erreichen	accomplir
account	hesap	Konto	compte
accountant	muhasebeci	Buchhalter	comptable
accounting	muhasebe	Buchhaltung	comptabilité
accuracy	kesinlik	Genauigkeit	précision
accurate	kesin	präzise	précis
accurately	tam olarak	genau	avec précision
accuse	suçlamak	beschuldigen	accuser
acid	asit	Säure	acide
acknowledge	kabullenmek	anerkennen	reconnaître
acquire	elde etmek	erwerben	acquérir
activate	etkinleştirmek	aktivieren Sie	Activer
actual	gerçek	tatsächlich	réel
adapt	adapte olmak	anpassen	adapter
addiction	bağımlılık	Sucht	dépendance
additional	ek olarak	zusätzlich	supplémentaire
additionally	bunlara ek olarak	zusätzlich	en outre
address	adres	Adresse	adresse
adequate	yeterli	angemessen	adéquat
adequately	yeterince	angemessen	adéquatement
adjust	ayarlamak	anpassen	ajuster
administration	yönetim	Verwaltung	administration
adopt	evlat edinmek	adoptieren	adopter
advance	ilerlemek	Vorauszahlung	avance
affair	mesele	Affäre	affaire
affordable	ekonomik	erschwinglich	abordable
afterwards	daha sonrasında	nachher	après
agency	Ajans	Agentur	agence
agenda	Gündem	Agenda	ordre du jour
aggressive	saldırgan	aggressiv	agressif
agriculture	tarım	Landwirtschaft	agriculture
AIDS	AIDS	AIDS	sida
aid	yardım	Hilfe	aide
aircraft	uçak	Flugzeug	avion
alarm	alarm vermek	Alarm	alarme
alien	yabancı	Außerirdischer	extraterrestre
alongside	yanında	neben	aux côtés de
alter	değiştirmek	ändern	modifier
altogether	tamamen	insgesamt	tout à fait
ambulance	ambulans	Krankenwagen	ambulance
amount	miktar	Menge	montant
amusing	eğlenceli	lustig	amusant
analyst	analist	Analytiker	analyste
ancestor	Ata	Vorfahr	ancêtre
anger	kızgınlık	Wut	colère
angle	açı	Winkel	angle
animation	animasyon	Animation	animation
anniversary	yıl dönümü	Jubiläum	anniversaire
annual	yıllık	jährlich	annuel
annually	her yıl	jährlich	annuellement
anticipate	beklemek	antizipieren	anticiper
anxiety	endişe	Angst	anxiété
anxious	endişeli	ängstlich	anxieux
