ability	yetenek	Fähigkeit	capacité
able	hünerli	fähig	capable
abroad	yurt dışı	im Ausland	à l'étranger
accept	kabul etmek	akzeptieren	accepter
accident	kaza	Unfall	accident
according	binaen	nach	selon
achieve	başarmak	erreichen	atteindre
act	davranmak	Gesetz	loi
active	aktif	aktiv	actif
actually	Aslında	Genau genommen	en fait
adult	yetişkin	Erwachsene	adulte
advantage	avantaj	Vorteil	avantage
adventure	macera	Abenteuer	aventure
advertise	ilan etmek	werben	afficher
advertisement	reklamcılık	Werbung	publicité
advertising	reklam	Werbung	publicité
affect	etkilemek	beeinträchtigen	affecter
after	sonrasında	nach	après
against	aykırı	gegen	contre
ah	Ah	Ah	ah
airline	havayolu	Fluggesellschaft	Compagnie aérienne
alive	canlı	lebendig	vivant
all	Tümü	alle	tous
all	Tümü	alle	tous
allow	izin vermek	erlauben	permettre
almost	neredeyse	fast	presque
alone	yalnız	allein	seul
along	birlikte	entlang	le long de
already	çoktan	bereits	déjà
alternative	alternatif	Alternative	alternative
although	rağmen	Obwohl	bien que
among	arasında	unter	parmi
amount	miktar	Menge	montant
ancient	antik	alt	ancien
angrily	öfkeyle	wütend	avec colère
ankle	bilek	Knöchel	cheville
any	herhangi	beliebig	n'importe quel
any	herhangi	beliebig	n'importe quel
anybody	kimse	irgendjemand	n'importe qui
anyway	Neyse	Trotzdem	de toute façon
anywhere	herhangi bir yer	überall	partout
app	uygulama	App	appliquer
appear	belli olmak	erscheinen	apparaître
appearance	dış görünüş	Aussehen	apparence
apply	uygula	anwenden	appliquer
architect	mimar	Architekt	architecte
architecture	mimari	die Architektur	architecture
argue	tartışmak	argumentieren	argumenter
argument	argüman	Streit	argument
army	ordu	Armee	armée
arrange	düzenlemek	arrangieren	organiser
arrangement	ayarlama	Anordnung	arrangement
as	gibi	als	comme
asleep	uyuya kalmak	schlafend	endormi
assistant	asistan	Assistent	assistant
athlete	atlet	Athlet	athlète
attack	saldırı	Attacke	attaque
attend	katılmak	teilnehmen	assister à
attention	dikkat	Aufmerksamkeit	attention
attractive	çekici	attraktiv	attractif
audience	kitle	Publikum	public
author	yazar	Autor	auteur
available	mevcut	verfügbar	disponible
average	ortalama	Durchschnitt	moyenne
avoid	kaçınmak	vermeiden	éviter
award	ödül	vergeben	décerner
awful	berbat	abscheulich	affreux
back	geri	zurück	dos
background	arka plan	Hintergrund	arrière-plan
badly	kötü	schlecht	mal
bar	çubuk	Bar	bar
baseball	beyzbol	Baseball	base-ball
based	temelli	basierend	basé
basketball	Basketbol	Basketball	basket-ball
bean	fasulye	Bohne	haricot
bear	ayı	tragen	ours
beat	vurmak	schlagen	battre
beef	biftek	Rindfleisch	bœuf
before	önce	Vor	avant
behave	davranmak	benehmen	se comporter
behaviour	davranış	Verhalten	comportement
belong	ait olmak	gehören	appartenir
belt	kemer	Gürtel	ceinture
benefit	fayda	Nutzen	avantage
best	en iyi	am besten	meilleur
better	daha iyi	besser	mieux
between	arasında	zwischen	entre
