absolutely	kesinlikle	absolut	absolument
academic	akademik	akademisch	académique
access	erişim	Zugang	accès
accommodation	konaklama	Unterkunft	hébergement
account	hesap	Konto	compte
achievement	başarı	Leistung	réalisation
act	davranmak	Gesetz	loi
ad	reklam	Anzeige	publicité
addition	ek	Zusatz	ajout
admire	beğenmek	bewundern	admirer
admit	itiraf etmek	zugeben	admettre
advanced	gelişmiş	fortschrittlich	avancé
advise	öğüt vermek	beraten	conseiller
afford	parası yetmek	leisten	permettre
age	yaş	Alter	âge
aged	yaşlı	alt	vieilli
agent	ajan	Agent	agent
agreement	anlaşma	Vereinbarung	accord
ahead	ilerde	voraus	devant
aim	amaç	Ziel	but
alarm	alarm vermek	Alarm	alarme
album	albüm	Album	album
alcohol	alkol	Alkohol	alcool
alcoholic	alkollü	alkoholisch	alcoolique
alternative	alternatif	Alternative	alternative
amazed	şaşkın	erstaunt	étonné
ambition	tutku	Ehrgeiz	ambition
ambitious	hırslı	ehrgeizig	ambitieux
analyse	analiz etmek	analysieren	analyser
analysis	analiz	Analyse	analyse
announce	duyurmak	bekannt geben	annoncer
announcement	duyuru	Bekanntmachung	annonce
annoy	kızdırmak	belästigen	ennuyer
annoyed	sinirli	verärgert	agacé
annoying	sinir bozucu	nervig	ennuyeux
apart	ayrı	auseinander	à part
apologize	özür dilemek	sich entschuldigen	s'excuser
application	başvuru	Anwendung	application
appointment	randevu	Termin	rendez-vous
appreciate	takdirle karşılamak	anerkennen	apprécier
approximately	yaklaşık olarak	etwa	environ
arrest	tutuklamak	Festnahme	arrêter
arrival	varış	Ankunft	arrivée
assignment	atama	Abtretung	mission
assist	yardım	helfen	aider
atmosphere	atmosfer	Atmosphäre	atmosphère
attach	eklemek	anfügen	attacher
attitude	davranış	Attitüde	attitude
attract	cezbetmek	anlocken	attirer
attraction	cazibe	Attraktion	attraction
authority	yetki	Behörde	autorité
average	ortalama	Durchschnitt	moyenne
award	ödül	vergeben	décerner
aware	farkında olmak	bewusst	conscient
backwards	geriye doğru	rückwärts	en arrière
bake	pişmek	backen	cuire
balance	denge	Gleichgewicht	équilibre
ban	yasaklamak	Verbot	interdire
base	temel	Base	base
basic	temel	Basic	basique
basis	temel	Basis	base
battery	pil	Batterie	batterie
battle	savaş	Schlacht	bataille
beauty	güzellik	Schönheit	beauté
bee	bal arısı	Biene	abeille
belief	inanç	Glauben	croyance
bell	zil	Glocke	cloche
bend	bükülmek	biegen	plier
benefit	fayda	Nutzen	avantage
better	daha iyi	besser	mieux
bite	ısırmak	beissen	mordre
block	engellemek	Block	bloc
board	pano	Planke	conseil
bomb	bomba	Bombe	bombe
border	sınır	Grenze	frontière
bother	rahatsız etmek	sich kümmern	déranger
branch	dal	Zweig	bifurquer
brand	marka	Marke	marque
brave	cesur	mutig	braver
breath	nefes	Atem	haleine
breathe	nefes almak	atmen	respirer
breathing	nefes alma	Atmung	respiration
bride	gelin	Braut	mariée
bubble	kabarcık	Blase	bulle
bury	gömmek	begraben	enterrer
by	ile	von	par
calm	sakinlik	ruhig	calme
campaign	kampanya	Kampagne	campagne
campus	yerleşke	Campus	Campus
candidate	aday	Kandidat	candidat
cap	kapak	Deckel	casquette
captain	Kaptan	Kapitän	capitaine
careless	dikkatsiz	leichtsinnig	imprudent
category	kategori	Kategorie	catégorie
ceiling	tavan	Decke	plafond
celebration	kutlama	Feier	fête
central	merkezi	zentral	central
centre	merkez	Center	centre
ceremony	tören	Zeremonie	cérémonie
chain	zincir	Kette	chaîne
challenge	meydan okumak	Herausforderung	défi
champion	şampiyon	Champion	champion
channel	kanal	Kanal	canaliser
chapter	bölüm	Kapitel	chapitre
charge	şarj	Aufladung	charge
cheap	ucuz	billig	bon marché
cheat	aldatmak	schummeln	tricher
cheerful	neşeli	heiter	joyeux
chemical	kimyasal	chemisch	chimique
chest	göğüs	Brust	poitrine
childhood	çocukluk	Kindheit	enfance
claim	iddia	beanspruchen	réclamation
clause	maddi	Klausel	clause
clear	temizlemek	klar	clair
click	tıklamak	klicken	Cliquez sur
client	müşteri	Klient	client
climb	tırmanmak	steigen	grimper
close	kapalı	schließen	fermer
cloth	bez	Tuch	chiffon
clue	ipucu	Hinweis	indice
coach	koç	Coach	entraîneur
coal	kömür	Kohle	charbon
coin	madeni para	Münze	pièce de monnaie
collection	Toplamak	Sammlung	collection
coloured	renkli	farbig	coloré
combine	birleştirmek	kombinieren	combiner
comment	Yorum	Kommentar	commentaire
commercial	reklam	Werbung	commercial
commit	işlemek	begehen	commettre
communication	iletişim	Kommunikation	communication
comparison	karşılaştırmak	Vergleich	comparaison
competitive	rekabetçi	wettbewerbsfähig	compétitif
competitor	yarışmacı	Wettbewerber	concurrent
complaint	şikayet	Beschwerde	plainte
complex	karmaşık	Komplex	complexe
concentrate	yoğunlaşmak	konzentrieren	concentré
conclude	sonuçlandırmak	daraus schließen	conclure
conclusion	çözüm	Abschluss	conclusion
confident	kendinden emin	zuversichtlich	confiant
confirm	onaylamak	bestätigen	confirmer
confuse	kafası karışmak	verwechseln	embrouiller
confused	kafası karışmış	verwirrt	confus
connection	bağlantı	Verbindung	connexion
consequence	sonuçlar	Folge	conséquence
consist	meydana gelmek	bestehen	consister
consume	tüketmek	verbrauchen	consommer
consumer	tüketici	Verbraucher	consommateur
contact	temas etmek	Kontakt	contact
container	konteyner	Container	récipient
content	içerik	Inhalt	contenu
continuous	sürekli	kontinuierlich	continu
contrast	zıtlık	Kontrast	contraste
convenient	uygun	komfortabel	pratique
convince	ikna etmek	überzeugen	convaincre
cool	Serin	Cool	cool
costume	kostüm	Kostüm	costume
cottage	kır evi	Hütte	chalet
cotton	pamuk	Baumwolle	coton
count	saymak	zählen	compter
countryside	kırsal kesim	Landschaft	campagne
court	mahkeme	Gericht	rechercher
cover	kapak	Abdeckung	couverture
covered	kapalı	bedeckt	couvert
cream	krem	Creme	crème
criminal	adli	kriminell	criminel
cruel	acımasız	grausam	cruel
cultural	kültürel	kulturell	culturel
currency	para birimi	Währung	monnaie
current	akım	aktuell	actuel
currently	şu anda	momentan	actuellement
curtain	perde	Vorhang	rideau
custom	gelenek	Brauch	coutume
cut	kesmek	schneiden	couper
daily	günlük	täglich	quotidien
damage	zarar	Schaden	dommage
deal	anlaşmak	handeln	accord
decade	on yıl	Jahrzehnt	décennie
decorate	süslemek	schmücken	décorer
deep	derin	tief	profond
define	tanımlamak	definieren	définir
definite	kesin	definitiv	précis
definition	tanım	Definition	définition
deliver	teslim etmek	liefern	livrer
departure	kalkış	Abfahrt	départ
despite	aksine	trotz	malgré
destination	varış noktası	Ziel	destination
determine	belirlemek	bestimmen	déterminer
determined	azimli	bestimmt	déterminé
development	gelişim	Entwicklung	développement
diagram	diyagram	Diagramm	diagramme
diamond	elmas	Diamant	diamant
difficulty	zorluk	Schwierigkeit	difficulté
direct	yönlendirmek	Direkte	direct
directly	direkt olarak	direkt	directement
dirt	kir	Schmutz	saleté
disadvantage	dezavantaj	Nachteil	désavantage
disappointed	hayal kırıklığına uğramış	enttäuscht	déçu
disappointing	hayal kırıklığı yaratan	enttäuschend	décevant
discount	indirim	Rabatt	rabais
dislike	Beğenmemek	nicht gefallen	Ne pas aimer
divide	bölmek	teilen	diviser
documentary	belgesel	Dokumentarfilm	documentaire
donate	bağış yapmak	spenden	donner
double	çift	doppelt	double
doubt	şüphe	zweifeln	doute
dressed	giyinmiş	angezogen	habillé
drop	düşürmek	tropfen	goutte
drum	davul	Trommel	tambouriner
drunk	sarhoş	betrunken	ivre
due	vadesi dolmuş	fällig	exigible
dust	toz	Staub	poussière
duty	görev	Pflicht	devoir
earthquake	deprem	Erdbeben	tremblement de terre
eastern	doğu	Ost	est
economic	ekonomik	wirtschaftlich	économique
economy	ekonomi	Wirtschaft	économie
edge	kenar	Rand	bord
editor	editör	Editor	éditeur
educate	Eğitim vermek	erziehen	éduquer
educated	eğitimli	gebildet	éduqué
educational	eğitici	lehrreich	éducatif
effective	etkili	Wirksam	efficace
effectively	etkili bir şekilde	effektiv	effectivement
effort	çaba	Bemühung	effort
election	seçim	Wahl	élection
element	element	Element	élément
embarrassed	utanmış	beschämt	gêné
embarrassing	utandırıcı	peinlich	embarrassant
emergency	acil durum	Notfall	urgence
emotion	duygu	Emotion	émotion
employment	iş	Anstellung	emploi
empty	boş	leer	vide
encourage	cesaretlendirmek	ermutigen	encourager
enemy	düşman	Feind	ennemi
engaged	nişanlı	engagiert	engagé
engineering	mühendislik	Maschinenbau	ingénierie
entertain	eğlendirmek	unterhalten	divertir
entertainment	eğlence	Unterhaltung	divertissement
entrance	giriş	Eingang	entrée
entry	giriş	Eintrag	entrée
environmental	çevre	Umwelt	environnement
episode	bölüm	Folge	épisode
equal	eşit	gleich	égal
equally	eşit derecede	gleichermaßen	également
escape	kaçmak	fliehen	s'échapper
essential	gerekli	essentiell	essentiel
eventually	sonunda	letztlich	finalement
examine	incelemek	prüfen	examiner
except	hariç	außer	sauf
exchange	değişme	Austausch	échange
excitement	heyecanlanmak	Aufregung	excitation
exhibition	sergi	Ausstellung	exposition
expand	genişletmek	expandieren	développer
expected	beklenen	erwartet	attendu
expedition	sefer	Expedition	expédition
experience	deneyim	Erfahrung	expérience
experienced	Tecrübeli	erfahren	expérimenté
experiment	deney	Experiment	expérience
explode	patlamak	explodieren	exploser
explore	keşfetmek	erkunden	explorer
explosion	patlama	Explosion	explosion
export	ihracat	Export	exporter
extra	ekstra	extra	supplémentaire
face	yüz	Gesicht	affronter
fairly	adil bir şekilde	ziemlich	assez
familiar	aşina	vertraut	familier
fancy	süslü	schick	fantaisie
far	uzak	weit	loin
fascinating	büyüleyici	faszinierend	fascinant
fashionable	moda	modisch	à la mode
fasten	sabitlemek	befestigen	boucler
favour	iyilik	favorisieren	service
fear	korku	Furcht	craindre
feature	özellik	Besonderheit	fonctionnalité
fence	çit	Zaun	clôture
fighting	savaş	Kampf	lutte
file	dosya	Datei	déposer
financial	parasal	finanziell	financier
fire	ateş	Feuer	feu
fitness	Fitness	Fitness	aptitude
fixed	sabit	Fest	fixé
flag	bayrak	Flagge	drapeau
flood	sel basmak	Flut	inondation
flour	un	Mehl	farine
flow	akış	Fluss	couler
fold	katlamak	falten	pli
folk	halk	Volk	populaire
following	takip etme	folgen	suivant
force	güç	Gewalt	force
forever	sonsuza kadar	für immer	pour toujours
frame	çerçeve	rahmen	cadre
freeze	donmak	einfrieren	gel
frequently	sıklıkla	häufig	fréquemment
friendship	dostluk	Freundschaft	amitié
frighten	korkutmak	erschrecken	effrayer
frightened	korkmuş	erschrocken	effrayé
frightening	korkutucu	erschreckend	effrayant
frozen	dondurulmuş	gefroren	congelé
fry	yağda kızartmak	braten	frire
fuel	yakıt	Kraftstoff	carburant
function	işlev	Funktion	fonction
fur	kürk	Fell	fourrure
further	daha öte	weiter	plus loin
garage	garaj	Garage	garage
gather	toplamak	versammeln	rassembler
generally	genel olarak	allgemein	en général
generation	nesil	Generation	génération
generous	cömert	großzügig	généreux
gentle	nazik	sanft	doux
gentleman	beyefendi	Gentleman	gentleman
ghost	hayalet	Geist	fantôme
